IOU img(b (131).png)  : 0.9096988945214682
Precision, Recall img(b (131).png)  : 0.9703889504202228, 0.9356723309357038
IOU img(b (85).png)  : 0.9546764150066607
Precision, Recall img(b (85).png)  : 0.9913463085089271, 0.9626991565135895
IOU img(a62.png)  : 0.91577449518905
Precision, Recall img(a62.png)  : 0.9724420779968341, 0.9401739130434783
IOU img(a61.png)  : 0.9348136605635632
Precision, Recall img(a61.png)  : 0.9772950958764636, 0.9555666168906587
IOU img(b (149).png)  : 0.7477372763476305
Precision, Recall img(b (149).png)  : 0.9935438134541864, 0.7513881974495462
IOU img(b (24).png)  : 0.9521634918632522
Precision, Recall img(b (24).png)  : 0.9782011404872991, 0.9728050729494252
IOU img(a97.png)  : 0.9460180363266861
Precision, Recall img(a97.png)  : 0.9737220551706105, 0.9708029197080292
IOU img(a67.png)  : 0.9563292465681651
Precision, Recall img(a67.png)  : 0.9772976735469708, 0.9780570142535634
IOU img(b (97).png)  : 0.8649363900137105
Precision, Recall img(b (97).png)  : 0.978854689135063, 0.8814049452513241
IOU img(a78.png)  : 0.929652400094585
Precision, Recall img(a78.png)  : 0.9715003500679543, 0.9557167166356049
IOU img(b (113).png)  : 0.9277939248874452
Precision, Recall img(b (113).png)  : 0.9926425755050607, 0.9342183285831787
IOU img(a31.png)  : 0.5816644414775256
Precision, Recall img(a31.png)  : 0.5958513790745384, 0.9606762219772143
IOU img(b (138).png)  : 0.933319241650678
Precision, Recall img(b (138).png)  : 0.9847824595113918, 0.9469768209189144
IOU img(a81.png)  : 0.9502239239684114
Precision, Recall img(a81.png)  : 0.9823984731205598, 0.96668173755782
IOU img(a8.png)  : 0.7623318385650224
Precision, Recall img(a8.png)  : 0.8223319560616749, 0.9126495917682586
IOU img(b (49).png)  : 0.9634390651085142
Precision, Recall img(b (49).png)  : 0.9878254915805464, 0.975016367130578
IOU img(a63.png)  : 0.9466879610616777
Precision, Recall img(a63.png)  : 0.9897431819988869, 0.9560675883256529
IOU img(a11.png)  : 0.8997418034783456
Precision, Recall img(a11.png)  : 0.9660024059835766, 0.9291643608190371
IOU img(b (86).png)  : 0.9163961870921453
Precision, Recall img(b (86).png)  : 0.9834634986983464, 0.9307377333610938
IOU img(b (59).png)  : 0.9529436369340165
Precision, Recall img(b (59).png)  : 0.9909096840136572, 0.9613477646264531
IOU img(b (66).png)  : 0.9499977354046831
Precision, Recall img(b (66).png)  : 0.9951133883670178, 0.9544503094284674
IOU img(a17.png)  : 0.9252159375870717
Precision, Recall img(a17.png)  : 0.9712480622422417, 0.9512705188071161
IOU img(a16.png)  : 0.9444821307436895
Precision, Recall img(a16.png)  : 0.9840419596027229, 0.959173313995649
IOU img(b (81).png)  : 0.9663554326847843
Precision, Recall img(b (81).png)  : 0.9900069470421632, 0.9758744205646861
IOU img(b (28).png)  : 0.9574335660550956
Precision, Recall img(b (28).png)  : 0.9949662542182227, 0.962093813732155
IOU img(b (114).png)  : 0.9058546923637327
Precision, Recall img(b (114).png)  : 0.9634077622032824, 0.9381323090640968
IOU img(a83.png)  : 0.9584282266562426
Precision, Recall img(a83.png)  : 0.9824047942580398, 0.9751677388116483
IOU img(b (135).png)  : 0.929293423725495
Precision, Recall img(b (135).png)  : 0.989008126693061, 0.9389915176694611
IOU img(b (147).png)  : 0.9064514661043945
Precision, Recall img(b (147).png)  : 0.9845940913809297, 0.9194928294454361
IOU img(b (17).png)  : 0.9511562148971607
Precision, Recall img(b (17).png)  : 0.9775477707006369, 0.9723993188928048
IOU img(a4.png)  : 0.8743909041689226
Precision, Recall img(a4.png)  : 0.9052690582959642, 0.9624553039332538
IOU img(b (65).png)  : 0.9473050596773639
Precision, Recall img(b (65).png)  : 0.9735242135030046, 0.9723555994915972
IOU img(a87.png)  : 0.8764760783995456
Precision, Recall img(a87.png)  : 0.9041021347844286, 0.9663117394416607
IOU img(b (19).png)  : 0.9536093648384999
Precision, Recall img(b (19).png)  : 0.9842080730866039, 0.9684272322001871
IOU img(a5.png)  : 0.5858018386108274
Precision, Recall img(a5.png)  : 0.9337856173677069, 0.611190053285968
IOU img(a90.png)  : 0.9555871710017629
Precision, Recall img(a90.png)  : 0.9884193352314533, 0.9664070563948578
IOU img(b (99).png)  : 0.926662341195923
Precision, Recall img(b (99).png)  : 0.9750913976126503, 0.9491296518607443
IOU img(b (47).png)  : 0.9487858499050664
Precision, Recall img(b (47).png)  : 0.967641663269466, 0.9798751225553434
IOU img(b (40).png)  : 0.9254804415973831
Precision, Recall img(b (40).png)  : 0.9707811355147703, 0.9519987381924607
IOU img(a86.png)  : 0.9592090354179612
Precision, Recall img(a86.png)  : 0.9827366686638705, 0.9756487471187449
IOU img(b (111).png)  : 0.9259377437424662
Precision, Recall img(b (111).png)  : 0.9668665778172664, 0.9562813518362564
IOU img(b (136).png)  : 0.9416551451708474
Precision, Recall img(b (136).png)  : 0.9844108112572526, 0.9559097744360903
IOU img(a15.png)  : 0.8931184496737196
Precision, Recall img(a15.png)  : 0.9716037431429493, 0.9170558375634518
IOU img(b (35).png)  : 0.9384600216898353
Precision, Recall img(b (35).png)  : 0.9829003345586717, 0.9540361216348948
IOU img(b (13).png)  : 0.9636029481422536
Precision, Recall img(b (13).png)  : 0.9816820120833092, 0.9812463824040131
IOU img(a55.png)  : 0.9264947245017585
Precision, Recall img(a55.png)  : 0.942741262078015, 0.9817391304347826
IOU img(a59.png)  : 0.9256630292757001
Precision, Recall img(a59.png)  : 0.9435225513840394, 0.9799611185883057
IOU img(a58.png)  : 0.9379057962460158
Precision, Recall img(a58.png)  : 0.984998760228118, 0.951497005988024
IOU img(b (26).png)  : 0.96122367148619
Precision, Recall img(b (26).png)  : 0.9879036167943372, 0.9726717265740609
IOU img(a79.png)  : 0.9589831825498141
Precision, Recall img(a79.png)  : 0.9817603272913233, 0.976378842676311
IOU img(b (121).png)  : 0.9229307643588119
Precision, Recall img(b (121).png)  : 0.9576631731866764, 0.9621894005212859
IOU img(a1.png)  : 0.9387328543435663
Precision, Recall img(a1.png)  : 0.9619812583668005, 0.9749016415683083
IOU img(b (60).png)  : 0.9392932977622911
Precision, Recall img(b (60).png)  : 0.9729120063161456, 0.9645173313455088
IOU img(b (43).png)  : 0.9473225946887244
Precision, Recall img(b (43).png)  : 0.9758394528841303, 0.9700752298690443
IOU img(b (98).png)  : 0.911762962962963
Precision, Recall img(b (98).png)  : 0.9818344252531268, 0.9274075264712383
IOU img(a2.png)  : 0.9133076181292189
Precision, Recall img(a2.png)  : 0.9674157303370786, 0.942294299074719
IOU img(b (70).png)  : 0.9538836516513418
Precision, Recall img(b (70).png)  : 0.9613095238095238, 0.9919668481613604
IOU img(b (139).png)  : 0.8897436552764076
Precision, Recall img(b (139).png)  : 0.9007011461540452, 0.9865113774830684
IOU img(b (71).png)  : 0.9407095811464444
Precision, Recall img(b (71).png)  : 0.9520629092944837, 0.9874821076511735
IOU img(b (78).png)  : 0.8963504830582906
Precision, Recall img(b (78).png)  : 0.948597216446934, 0.9421103134982813
IOU img(b (119).png)  : 0.931769321724175
Precision, Recall img(b (119).png)  : 0.9753579566232524, 0.9542327168648173
IOU img(b (143).png)  : 0.8988506899201497
Precision, Recall img(b (143).png)  : 0.9869041286843602, 0.9097010887942111
IOU img(b (75).png)  : 0.9312254263644294
Precision, Recall img(b (75).png)  : 0.9689551296386429, 0.959863954442982
IOU img(a49.png)  : 0.937950937950938
Precision, Recall img(a49.png)  : 0.9601948337126203, 0.9758967700048693
IOU img(a91.png)  : 0.9361757105943153
Precision, Recall img(a91.png)  : 0.9600911596353615, 0.9740818411571759
IOU img(a12.png)  : 0.9173082574199236
Precision, Recall img(a12.png)  : 0.9623281336703866, 0.9514752499390393
IOU img(a39.png)  : 0.9175977653631285
Precision, Recall img(a39.png)  : 0.9646487463293427, 0.9495275152862701
IOU img(b (39).png)  : 0.9224460715206088
Precision, Recall img(b (39).png)  : 0.9713469335631963, 0.948248457271084
IOU img(a104.png)  : 0.9098243715255572
Precision, Recall img(a104.png)  : 0.9703043022035677, 0.9358838115479986
IOU img(b (90).png)  : 0.949913468390512
Precision, Recall img(b (90).png)  : 0.9797354052918942, 0.968951194184839
IOU img(b (54).png)  : 0.953586616723463
Precision, Recall img(b (54).png)  : 0.9871716376570745, 0.9655516582541991
IOU img(b (93).png)  : 0.9665318423348402
Precision, Recall img(b (93).png)  : 0.9862692203938495, 0.9797148828983332
IOU img(b (53).png)  : 0.961995354496184
Precision, Recall img(b (53).png)  : 0.9861221342887594, 0.9751979010158545
IOU img(b (3).png)  : 0.9703577133093124
Precision, Recall img(b (3).png)  : 0.9908399552428455, 0.9791412882550272
IOU img(b (48).png)  : 0.9483209668782988
Precision, Recall img(b (48).png)  : 0.9744545054392253, 0.9724976466896769
IOU img(a94.png)  : 0.9468042521015879
Precision, Recall img(a94.png)  : 0.9751259734310582, 0.9702370100273473
IOU img(b (42).png)  : 0.9710684025625129
Precision, Recall img(b (42).png)  : 0.9934985992917174, 0.9772786356782613
IOU img(b (9).png)  : 0.9600771096324855
Precision, Recall img(b (9).png)  : 0.981292372881356, 0.9779771959459459
IOU img(b (34).png)  : 0.9532509645554038
Precision, Recall img(b (34).png)  : 0.9898824556480529, 0.9626299990903854
IOU img(b (123).png)  : 0.9285280644627187
Precision, Recall img(b (123).png)  : 0.963794683776352, 0.9620861211185452
IOU img(a88.png)  : 0.929541963687921
Precision, Recall img(a88.png)  : 0.9635435803225147, 0.963425585762103
IOU img(a33.png)  : 0.9214842148421484
Precision, Recall img(a33.png)  : 0.9702974571514916, 0.9482322166905747
IOU img(b (56).png)  : 0.9413958012482775
Precision, Recall img(b (56).png)  : 0.9810778847778341, 0.9588045901097993
IOU img(b (12).png)  : 0.9525790595759801
Precision, Recall img(b (12).png)  : 0.9948972491534073, 0.9572559288243521
IOU img(b (117).png)  : 0.8861292262152537
Precision, Recall img(b (117).png)  : 0.9645572169360117, 0.9159535306210259
IOU img(b (11).png)  : 0.9546095954844779
Precision, Recall img(b (11).png)  : 0.9877865149740672, 0.9660116913831829
IOU img(b (107).png)  : 0.8546637093873636
Precision, Recall img(b (107).png)  : 0.9628241491085899, 0.8838297740445712
IOU img(b (8).png)  : 0.9552743507780097
Precision, Recall img(b (8).png)  : 0.9686319680694329, 0.9857695872635079
